KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
2.029,122028362.676,8394324.698,20244.180,25220.000,0.000,0.000,84.000,122028.363,8394.325
0.100,13673553.162,649115.032,15832.191,47993.000,0.000,0.000,26.000,13673.553,649.115
0.064,1625685.674,165435.451,6313.321,12898.000,0.000,0.000,12.000,1625.686,165.435
0.385,52675700.763,2643665.568,23474.343,40007.000,0.000,0.000,48.000,52675.701,2643.666
0.352,16406961.388,1343912.156,11701.163,20586.000,0.000,0.000,26.000,16406.961,1343.912
0.551,39528860.780,2338533.641,14380.326,20527.000,0.000,0.000,34.000,39528.861,2338.534
0.820,49967712.092,15672125.286,15929.884,27397.000,0.000,0.000,49.000,49967.712,15672.125
0.074,23000111.771,741310.064,43798.923,43251.000,0.000,0.000,13.000,23000.112,741.310
0.236,39011516.360,1932169.286,29213.936,48482.000,0.000,0.000,37.000,39011.516,1932.169
0.136,17367296.082,674383.540,35062.895,42713.000,0.000,0.000,24.000,17367.296,674.384
0.018,3955948.423,158363.490,24040.464,7803.000,0.000,0.000,7.000,3955.948,158.363
0.263,52954558.772,5051550.671,30527.197,31225.000,0.000,0.000,31.000,52954.559,5051.551
0.028,2215771.080,296488.713,16721.539,42778.000,0.000,0.000,15.000,2215.771,296.489
0.083,907872.719,241731.636,8694.766,13038.000,0.000,0.000,9.000,907.873,241.732
0.859,38232259.959,4220068.653,25751.393,47969.000,0.000,0.000,32.000,38232.260,4220.069
0.307,9287188.969,639794.715,18648.922,36251.000,0.000,0.000,15.000,9287.189,639.795
0.079,4808030.139,606423.315,17613.921,29398.000,0.000,0.000,12.000,4808.030,606.423
0.306,44562962.764,1690848.246,38524.419,63029.000,0.000,0.000,26.000,44562.963,1690.848
0.216,10697556.580,894136.737,24437.908,48184.000,0.000,0.000,31.000,10697.557,894.137
0.383,31541542.441,1974080.148,15854.452,20868.000,0.000,0.000,26.000,31541.542,1974.080
0.067,4414993.007,290166.622,16169.159,21078.000,0.000,0.000,13.000,4414.993,290.167
0.190,9439479.700,586952.703,14264.185,19669.000,0.000,0.000,21.000,9439.480,586.953
0.535,40084824.693,3118535.948,18795.301,27537.000,0.000,0.000,46.000,40084.825,3118.536
0.234,21092582.691,1933773.711,19005.993,20826.000,0.000,0.000,36.000,21092.583,1933.774
0.329,24636048.346,3144168.213,16076.866,20900.000,0.000,0.000,32.000,24636.048,3144.168
0.027,2809296.243,305608.524,19016.761,28336.000,0.000,0.000,10.000,2809.296,305.609
0.121,31219370.506,1498636.341,30038.204,42830.000,0.000,0.000,20.000,31219.371,1498.636
0.189,23746801.109,1020314.764,27352.008,34471.000,0.000,0.000,28.000,23746.801,1020.315
0.124,10237960.116,606792.190,14102.269,17813.000,0.000,0.000,17.000,10237.960,606.792
0.332,25863982.662,1526263.092,16975.106,18674.000,0.000,0.000,25.000,25863.983,1526.263
0.634,39381061.752,7770833.179,13884.566,19994.000,0.000,0.000,38.000,39381.062,7770.833
0.473,52545079.798,2581338.491,22628.310,19468.000,0.000,0.000,46.000,52545.080,2581.338
0.171,17436835.079,765900.366,21153.137,20760.000,0.000,0.000,12.000,17436.835,765.900
0.058,5219128.429,1976946.698,9988.031,19756.000,0.000,0.000,11.000,5219.128,1976.947
0.087,5842382.885,594355.174,15200.101,20053.000,0.000,0.000,26.000,5842.383,594.355
0.082,8802406.867,498164.333,18525.245,20198.000,0.000,0.000,14.000,8802.407,498.164
0.021,1984097.469,111464.738,15578.104,8273.000,0.000,0.000,7.000,1984.097,111.465
0.083,4572213.739,672392.713,18701.647,47725.000,0.000,0.000,22.000,4572.214,672.393
0.041,8839769.690,164626.022,41744.777,18810.000,0.000,0.000,8.000,8839.770,164.626
0.002,106425.431,12177.905,8252.112,3111.000,0.000,0.000,4.000,106.425,12.178
0.090,24177891.057,692779.136,45087.691,44106.000,0.000,0.000,12.000,24177.891,692.779
0.050,7242987.089,322403.252,34305.817,23395.000,0.000,0.000,11.000,7242.987,322.403
0.107,33281772.698,953306.966,41963.085,31765.000,0.000,0.000,16.000,33281.773,953.307
0.195,21899175.477,1149864.899,18993.142,20761.000,0.000,0.000,20.000,21899.175,1149.865
