DATE,ID_0048TE-ID_0048T11#KPI_1,ID_1574AE-ID_1574A11#KPI_1,ID_1574AE-ID_1574A11#KPI_10,ID_0048TE-ID_0048T11#KPI_12,ID_1574AE-ID_1574A11#KPI_12,ID_0048TE-ID_0048T11#KPI_15,ID_1574AE-ID_1574A11#KPI_15,ID_0048TE-ID_0048T11#KPI_4,ID_1574AE-ID_1574A11#KPI_4
22-06-2019,0.484,0.683,0,26,96,130808.471,107553.133,130808471.4,107553132.9
23-06-2019,0.342,0.502,0,27,91,75380.73,59758.873,75380729.7,59758872.88
24-06-2019,0.272,0.571,0,24,70,44823.029,47495.48,44823028.95,47495479.63
25-06-2019,0.271,0.509,0,23,61,48499.984,54972.69,48499983.51,54972690.41
26-06-2019,0.358,0.469,0,26,55,60739.1,51958.732,60739099.82,51958732.5
27-06-2019,0.344,0.524,0,26,71,58059.673,57832.865,58059672.65,57832864.68
28-06-2019,0.409,0.479,0,25,63,69409.725,43819.518,69409725.49,43819517.59
29-06-2019,0.243,0.507,0,25,77,57396.863,71650.198,57396863.45,71650198.4
30-06-2019,0.311,0.564,0,26,71,68077.403,84071.306,68077402.73,84071306.24
01-07-2019,0.319,0.877,0,25,102,58275.343,131815.426,58275343.04,131815425.8
02-07-2019,0.285,1.077,0,22,113,53987.603,150787.743,53987602.63,150787743.2
03-07-2019,0.275,1.078,0,26,114,39836.359,126788.321,39836358.71,126788321.1
04-07-2019,0.294,1.316,0,23,97,64310.815,182688.996,64310814.58,182688995.6
05-07-2019,0.328,1.044,0,22,117,87399.603,147126.71,87399603.18,147126710.4
06-07-2019,0.285,0.983,0,23,88,62794.403,156195.858,62794403.32,156195857.6
07-07-2019,0.268,1.199,0,21,99,68460.444,184076.371,68460444.39,184076370.7
08-07-2019,0.239,1.528,0,18,108,18157.616,205932.603,18157616.34,205932603.2
09-07-2019,0.222,1.696,0,24,128,19801.464,209578.441,19801464.06,209578440.9
10-07-2019,0.248,2.147,0,27,119,33231.816,221110.009,33231815.55,221110009
11-07-2019,0.229,1.974,0,24,98,23982.968,223505.82,23982968.09,223505820.2
12-07-2019,0.268,1.9,0,34,106,29623.707,217220.512,29623707.32,217220512.5
13-07-2019,0.286,1.533,0,48,111,24534.436,201958.539,24534435.68,201958539.4
